product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
13,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",438.57,16.76,home decor,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,962,Green,large,9.4,duis aliquam convallis nunc proin at turpis a pede posuere nonummy,2016-05-05,2.0,1,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,2.7,252,standard,38.23
14,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",872.93,32.54,toys,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,623,Yellow,extra large,3.2,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,2020-01-06,2.0,204,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,3.0,648,free,19.94
15,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",100.84,25.75,electronics,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,974,Teal,medium,5.4,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,2019-08-13,3.5,277,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,3.5,853,express,24.28
16,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",424.66,4.88,home decor,id luctus nec molestie sed justo pellentesque viverra pede ac diam,438,Crimson,extra large,1.0,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2019-08-05,4.0,869,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,3.0,24,free,6.86
17,in faucibus orci luctus et ultrices posuere cubilia curae duis,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",700.9,41.74,beauty,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,449,Pink,small,3.3,curabitur in libero ut massa volutpat convallis morbi odio odio elementum,2018-02-21,1.5,590,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,3.3,114,express,43.87
18,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,790.24,44.78,home decor,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,527,Mauv,medium,3.6,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,2022-01-29,2.4,176,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,3.4,316,standard,1.08
19,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",77.9,0.28,clothing,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,581,Aquamarine,small,4.2,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,2011-07-29,3.4,496,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,2.6,57,free,10.54
20,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",670.12,20.11,electronics,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,92,Blue,large,8.5,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,2022-05-30,1.7,693,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,1.8,678,free,33.53
21,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",837.53,17.46,toys,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,132,Yellow,large,6.1,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,2012-01-27,2.0,553,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,4.9,666,free,19.62
22,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",613.37,42.36,beauty,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,200,Khaki,small,6.0,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,2017-12-31,3.8,571,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,1.3,232,express,23.05
23,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",376.55,32.34,beauty,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,394,Teal,medium,1.6,volutpat eleifend donec ut dolor morbi vel lectus in quam,2013-01-15,4.4,920,libero convallis eget eleifend luctus ultricies eu nibh quisque id,3.5,687,express,20.97
24,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",836.76,40.85,clothing,suspendisse potenti in eleifend quam a odio in hac habitasse,116,Green,medium,6.7,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,2019-11-21,4.4,66,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,1.9,66,express,38.94
25,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,792.17,35.45,clothing,diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,618,Pink,small,4.9,id sapien in sapien iaculis congue vivamus metus arcu adipiscing,2016-03-26,2.6,111,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,4.4,272,express,42.15
26,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",910.05,4.12,electronics,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,108,Red,medium,7.9,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,2010-02-08,5.0,654,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,2.2,398,standard,9.49
27,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",83.74,48.83,beauty,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,727,Crimson,large,7.9,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,2016-08-18,3.0,867,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,2.8,27,express,12.06
28,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",672.47,10.01,home decor,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,126,Maroon,medium,8.4,sapien non mi integer ac neque duis bibendum morbi non,2011-04-28,2.2,738,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1.7,251,express,49.16
29,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",133.18,4.0,electronics,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,852,Fuscia,medium,7.6,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,2013-06-06,3.9,432,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,3.3,878,standard,2.95
30,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",424.27,29.52,beauty,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,825,Turquoise,large,2.8,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,2015-01-31,2.4,330,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,3.8,471,free,37.2
31,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",997.78,16.45,beauty,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,609,Puce,small,2.0,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,2016-07-20,1.1,338,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,4.4,822,standard,29.11
32,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",174.93,23.24,electronics,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,393,Turquoise,small,5.2,congue eget semper rutrum nulla nunc purus phasellus in felis,2017-12-17,1.4,860,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,4.0,97,standard,42.09
33,semper porta volutpat quam pede lobortis ligula sit amet eleifend,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,26.19,48.6,beauty,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,676,Turquoise,extra large,0.5,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,2022-08-15,1.4,4,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,4.9,885,express,7.05
34,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,381.18,8.12,home decor,cum sociis natoque penatibus et magnis dis parturient montes nascetur,975,Violet,extra large,5.0,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,2011-12-05,3.7,785,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,3.7,999,standard,14.43
35,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",367.2,42.11,clothing,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,626,Green,large,4.1,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,2017-04-21,4.1,985,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,1.5,902,free,4.76
36,at nulla suspendisse potenti cras in purus eu magna vulputate,Morbi a ipsum. Integer a nibh.,660.7,31.78,toys,consequat ut nulla sed accumsan felis ut at dolor quis,401,Aquamarine,extra large,9.1,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,2016-05-04,1.1,805,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,2.6,364,free,41.26
37,integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",954.32,15.74,clothing,elit proin risus praesent lectus vestibulum quam sapien varius ut,456,Puce,medium,8.7,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,2019-01-17,1.6,912,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,4.0,786,free,3.68
38,auctor sed tristique in tempus sit amet sem fusce consequat,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",899.9,21.38,clothing,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,491,Indigo,extra large,7.1,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,2014-11-06,2.8,66,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,4.8,356,free,19.26
39,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,260.8,1.92,electronics,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,634,Teal,extra large,7.3,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,2013-01-17,2.2,71,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,3.4,244,free,13.97
40,sem sed sagittis nam congue risus semper porta volutpat quam pede,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",539.55,44.24,electronics,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,47,Pink,large,8.0,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,2010-04-26,4.1,522,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,4.4,378,standard,11.46
